name,category,address_main,tel,capacity,age,lat,long,open,holiday
加茂保育園,公立保育園,新諏訪1-11-31,026-232-7064,50,４ヶ月～,36.6573419,138.1726897,7:30-18:30,日曜日・国民の祝日・年末年始
後町保育園,公立保育園,西後町614-6,026-232-0333,45,４ヶ月～,36.6519126,138.1861691,7:30-18:30,日曜日・国民の祝日・年末年始
山王保育園,公立保育園,北石堂町1024-2,026-226-7670,120,４ヶ月～,36.6472965,138.1834027,7:30-18:30,日曜日・国民の祝日・年末年始
中御所保育園,公立保育園,中御所2-29-7,026-226-7065,135,４ヶ月～,36.6369981,138.1850914,7:30-18:30,日曜日・国民の祝日・年末年始
柳町保育園,公立保育園,三輪1-2-8,026-241-7894,180,４ヶ月～,36.6547046,138.2037087,7:30-18:30,日曜日・国民の祝日・年末年始
皐月保育園,公立保育園,徳間959,026-295-4100,130,４ヶ月～,36.6802101,138.2315054,7:30-18:30,日曜日・国民の祝日・年末年始
若槻保育園,公立保育園,若槻団地1-509,026-243-2070,110,４ヶ月～,36.6798151,138.2148377,7:30-18:30,日曜日・国民の祝日・年末年始
長沼保育園,公立保育園,津野462-1,026-296-9753,70,４ヶ月～,36.6892553,138.2700734,7:30-18:30,日曜日・国民の祝日・年末年始
安茂里保育園,公立保育園,宮沖3096-3,026-228-6075,140,４ヶ月～,36.6298373,138.1651795,7:30-18:30,日曜日・国民の祝日・年末年始
芋井保育園,公立保育園,桜599,026-232-8120,20,６ヶ月～,36.6776551,138.1504945,7:30-18:30,日曜日・国民の祝日・年末年始
子供の園保育園,公立保育園,篠ノ井布施高田689-3,026-292-0673,90,４ヶ月～,36.579517,138.1429008,7:30-18:30,日曜日・国民の祝日・年末年始
中央保育園,公立保育園,篠ノ井御幣川284-2,026-292-0342,95,４ヶ月～,36.574309,138.1382711,7:30-18:30,日曜日・国民の祝日・年末年始
塩崎保育園,公立保育園,篠ノ井塩崎2184-1,026-292-2276,100,４ヶ月～,36.5482195,138.1106694,7:30-18:30,日曜日・国民の祝日・年末年始
共和保育園,公立保育園,篠ノ井小松原2322-15,026-292-0613,80,４ヶ月～,36.6008924,138.1285206,7:30-18:30,日曜日・国民の祝日・年末年始
西部保育園,公立保育園,篠ノ井二ツ柳779,026-293-1049,120,４ヶ月～,36.5683731,138.1265867,7:30-18:30,日曜日・国民の祝日・年末年始
東部保育園,公立保育園,篠ノ井東福寺745,026-293-0944,90,４ヶ月～,36.5769402,138.1702838,7:30-18:30,日曜日・国民の祝日・年末年始
青池保育園,公立保育園,篠ノ井有旅3692,026-293-2635,20,４ヶ月～,36.5908703,138.102196,7:30-18:30,日曜日・国民の祝日・年末年始
象山保育園,公立保育園,松代町松代1421-3,026-278-2085,80,４ヶ月～,36.5589964,138.1993668,7:30-18:30,日曜日・国民の祝日・年末年始
清野保育園,公立保育園,松代町清野90-1,026-278-7275,30,４ヶ月～,36.5619142,138.1745172,7:30-18:30,日曜日・国民の祝日・年末年始
西条保育園,公立保育園,松代町西条3623-1,026-278-3728,40,４ヶ月～,36.5483506,138.2033554,7:30-18:30,日曜日・国民の祝日・年末年始
豊栄保育園,公立保育園,松代町豊栄2798-1,026-278-2162,60,４ヶ月～,36.5436637,138.2289326,7:30-18:30,日曜日・国民の祝日・年末年始
東条保育園,公立保育園,松代町東条2448-1,026-278-5100,60,４ヶ月～,36.5631469,138.2111899,7:30-18:30,日曜日・国民の祝日・年末年始
寺尾保育園,公立保育園,松代町小島田3571,026-278-3648,60,４ヶ月～,36.5930988,138.2054732,7:30-18:30,日曜日・国民の祝日・年末年始
綿内保育園,公立保育園,若穂綿内6734-3,026-282-2357,125,４ヶ月～,36.6228891,138.2610068,7:30-18:30,日曜日・国民の祝日・年末年始
保科保育園,公立保育園,若穂保科4972-4,026-282-3133,90,４ヶ月～,36.5882993,138.259324,7:30-18:30,日曜日・国民の祝日・年末年始
昭和保育園,公立保育園,川中島町今井1869-2,026-284-4479,135,４ヶ月～,36.5927717,138.1538903,7:30-18:30,日曜日・国民の祝日・年末年始
川中島保育園,公立保育園,川中島町上氷鉋146-1,026-284-4069,100,４ヶ月～,36.6090339,138.1529841,7:30-18:30,日曜日・国民の祝日・年末年始
青木島保育園,公立保育園,青木島町大塚1361,026-285-2551,150,４ヶ月～,36.6123983,138.1858504,7:30-18:30,日曜日・国民の祝日・年末年始
真島保育園,公立保育園,真島町真島1425-1,026-284-3637,75,４ヶ月～,36.6060477,138.2094223,7:30-18:30,日曜日・国民の祝日・年末年始
七二会保育園,公立保育園,七二会己997,026-229-2620,60,４ヶ月～,36.6185805,138.0918068,7:30-18:30,日曜日・国民の祝日・年末年始
信更保育園,公立保育園,信更町氷ノ田3222,026-290-3724,45,４ヶ月～,36.5711216,138.0706801,7:30-18:30,日曜日・国民の祝日・年末年始
豊野さつき保育園,公立保育園,豊野町石2235-1,026-257-2486,55,４ヶ月～,36.7060671,138.2591714,7:30-18:30,日曜日・国民の祝日・年末年始
豊野みなみ保育園,公立保育園,豊野町豊野430-6,026-257-4599,110,４ヶ月～,36.7089145,138.2756361,7:30-18:30,日曜日・国民の祝日・年末年始
豊野ひがし保育園,公立保育園,豊野町大倉2196,026-257-2484,120,４ヶ月～,36.7297764,138.2927675,7:30-18:30,日曜日・国民の祝日・年末年始
とがくし保育園,公立保育園,戸隠豊岡1541番地,026-254-3393,70,４ヶ月～,36.7033391,138.0894712,7:30-18:30,日曜日・国民の祝日・年末年始
鬼無里保育園,公立保育園,鬼無里160-4,026-256-2582,60,４ヶ月～,36.680392,138.0031273,7:30-18:30,日曜日・国民の祝日・年末年始
信州新町保育園,公立保育園,信州新町里穂刈423-1,026-262-2316,130,４ヶ月～,36.5681354,138.0018393,7:30-18:30,日曜日・国民の祝日・年末年始
