name,category,address,tel,lat,long,open,holiday
長野市役所,市役所・出先機関,長野市大字長野緑町１６１３,026-226-4911,36.6478275,138.1946487,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
大門連絡室,市役所・出先機関,長野市大字長野大門町５２９－１,026-232-2660,36.6555843,138.187188399999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
城山分室,市役所・出先機関,長野市箱清水１－３－８,000,36.662289,138.192446199999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
バスターミナル連絡室,市役所・出先機関,長野市中御所岡田町１７８－２,026-223-1566,36.6440886,138.1822583,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
駅周辺整備局,市役所・出先機関,長野市大字栗田９７２,026-224-5049,36.641095,138.191923999999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
古里支所,市役所・出先機関,長野市大字金箱６３５－１６,026-296-2587,36.6772693,138.2448265,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
柳原支所,市役所・出先機関,長野市大字小島８０４－５,026-296-8585,36.6638797,138.255331,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
浅川支所,市役所・出先機関,長野市浅川東条３２８－１,026-241-3552,36.6812869,138.2047556,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
大豆島支所,市役所・出先機関,長野市大字大豆島１０５４－１,026-221-4190,36.6313455,138.2253282,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
朝陽支所,市役所・出先機関,長野市大字北尾張部２２６－９,026-243-7293,36.654406,138.2406071,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
若槻支所,市役所・出先機関,長野市大字若槻東条５０５－１,026-296-3908,36.6833899,138.220389699999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
長沼支所,市役所・出先機関,長野市大字穂保９４１,026-296-9712,36.6868697,138.274739599999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
